Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,350,44.6756,700176.4000,4941687.0000,999.0000,999.0000
PPE,351,44.7399,699927.2000,4941256.0000,999.0000,999.0000
PPE,352,46.3876,706906.7000,4949720.0000,999.0000,999.0000
PPE,353,46.0974,706475.5000,4949471.0000,999.0000,999.0000
PPE,354,46.5931,706906.7000,4949222.0000,999.0000,999.0000
PPE,355,44.9671,701173.2000,4942551.0000,999.0000,999.0000
PPE,356,44.5142,700923.7000,4942982.0000,999.0000,999.0000
PPE,357,44.5621,700674.6000,4942551.0000,999.0000,999.0000
PPE,358,45.9312,701422.8000,4941256.0000,999.0000,999.0000
PPE,359,45.4744,701173.4000,4941687.0000,999.0000,999.0000
PPE,360,45.5321,700924.3000,4941256.0000,999.0000,999.0000
PPE,361,46.8958,705612.6000,4945987.0000,999.0000,999.0000
PPE,362,47.1555,706044.1000,4946235.0000,999.0000,999.0000
PPE,363,46.6578,705612.9000,4946484.0000,999.0000,999.0000
PPE,364,46.2809,702170.5000,4941687.0000,999.0000,999.0000
PPE,365,45.8270,701921.1000,4942119.0000,999.0000,999.0000
PPE,366,45.8768,701672.0000,4941687.0000,999.0000,999.0000
PPE,367,46.6869,702669.0000,4941687.0000,999.0000,999.0000
PPE,368,46.2343,702419.6000,4942119.0000,999.0000,999.0000
PPE,369,46.9610,706475.5000,4947480.0000,999.0000,999.0000
PPE,370,46.6902,706044.2000,4947231.0000,999.0000,999.0000
PPE,371,47.1877,706475.5000,4946982.0000,999.0000,999.0000
PPE,372,47.0948,703167.6000,4941687.0000,999.0000,999.0000
PPE,373,46.6434,702918.2000,4942119.0000,999.0000,999.0000
PPE,374,47.1400,702918.4000,4941256.0000,999.0000,999.0000
PPE,375,47.5465,703417.0000,4941256.0000,999.0000,999.0000
PPE,376,47.4185,706475.5000,4946484.0000,999.0000,999.0000
PPE,377,47.6534,706475.4000,4945986.0000,999.0000,999.0000
PPE,378,47.6856,706906.7000,4946732.0000,999.0000,999.0000
PPE,379,47.9161,706906.7000,4946235.0000,999.0000,999.0000
PPE,380,47.6294,705604.9000,4944493.0000,999.0000,999.0000
PPE,381,47.3781,705165.5000,4944246.0000,999.0000,999.0000
PPE,382,47.8761,705595.7000,4943995.0000,999.0000,999.0000
